pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  25489 	|	total =  36864 	|	layerwise sparsity =  0.6914333767361112
layer1.0.conv2.weight_mask 	|	active =  25489 	|	total =  36864 	|	layerwise sparsity =  0.6914333767361112
layer1.1.conv1.weight_mask 	|	active =  25914 	|	total =  36864 	|	layerwise sparsity =  0.7029622395833334
layer1.1.conv2.weight_mask 	|	active =  26268 	|	total =  36864 	|	layerwise sparsity =  0.7125651041666666
layer2.0.conv1.weight_mask 	|	active =  52376 	|	total =  73728 	|	layerwise sparsity =  0.7103949652777778
layer2.0.conv2.weight_mask 	|	active =  108272 	|	total =  147456 	|	layerwise sparsity =  0.7342664930555556
layer2.0.shortcut.0.weight_mask 	|	active =  5595 	|	total =  8192 	|	layerwise sparsity =  0.6829833984375
layer2.1.conv1.weight_mask 	|	active =  108665 	|	total =  147456 	|	layerwise sparsity =  0.7369316948784722
layer2.1.conv2.weight_mask 	|	active =  109349 	|	total =  147456 	|	layerwise sparsity =  0.7415703667534722
layer3.0.conv1.weight_mask 	|	active =  222091 	|	total =  294912 	|	layerwise sparsity =  0.7530754937065972
layer3.0.conv2.weight_mask 	|	active =  453227 	|	total =  589824 	|	layerwise sparsity =  0.7684105767144097
layer3.0.shortcut.0.weight_mask 	|	active =  23430 	|	total =  32768 	|	layerwise sparsity =  0.71502685546875
layer3.1.conv1.weight_mask 	|	active =  455057 	|	total =  589824 	|	layerwise sparsity =  0.7715131971571181
layer3.1.conv2.weight_mask 	|	active =  458176 	|	total =  589824 	|	layerwise sparsity =  0.7768012152777778
layer4.0.conv1.weight_mask 	|	active =  931832 	|	total =  1179648 	|	layerwise sparsity =  0.7899237738715278
layer4.0.conv2.weight_mask 	|	active =  1901269 	|	total =  2359296 	|	layerwise sparsity =  0.8058628506130643
layer4.0.shortcut.0.weight_mask 	|	active =  98993 	|	total =  131072 	|	layerwise sparsity =  0.7552566528320312
layer4.1.conv1.weight_mask 	|	active =  1912173 	|	total =  2359296 	|	layerwise sparsity =  0.8104845682779948
layer4.1.conv2.weight_mask 	|	active =  1920614 	|	total =  2359296 	|	layerwise sparsity =  0.8140623304578993
pruning state: 1
remaining weight at start of iteration =  79.4344897570012
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  17624 	|	total =  36864 	|	layerwise sparsity =  0.4780815972222222
layer1.0.conv2.weight_mask 	|	active =  17624 	|	total =  36864 	|	layerwise sparsity =  0.4780815972222222
layer1.1.conv1.weight_mask 	|	active =  18216 	|	total =  36864 	|	layerwise sparsity =  0.494140625
layer1.1.conv2.weight_mask 	|	active =  18718 	|	total =  36864 	|	layerwise sparsity =  0.5077582465277778
layer2.0.conv1.weight_mask 	|	active =  37208 	|	total =  73728 	|	layerwise sparsity =  0.5046657986111112
layer2.0.conv2.weight_mask 	|	active =  79500 	|	total =  147456 	|	layerwise sparsity =  0.5391438802083334
layer2.0.shortcut.0.weight_mask 	|	active =  3821 	|	total =  8192 	|	layerwise sparsity =  0.4664306640625
layer2.1.conv1.weight_mask 	|	active =  80079 	|	total =  147456 	|	layerwise sparsity =  0.5430704752604166
layer2.1.conv2.weight_mask 	|	active =  81090 	|	total =  147456 	|	layerwise sparsity =  0.5499267578125
layer3.0.conv1.weight_mask 	|	active =  167251 	|	total =  294912 	|	layerwise sparsity =  0.5671217176649306
layer3.0.conv2.weight_mask 	|	active =  348264 	|	total =  589824 	|	layerwise sparsity =  0.5904541015625
layer3.0.shortcut.0.weight_mask 	|	active =  16753 	|	total =  32768 	|	layerwise sparsity =  0.511260986328125
layer3.1.conv1.weight_mask 	|	active =  351083 	|	total =  589824 	|	layerwise sparsity =  0.5952334933810763
layer3.1.conv2.weight_mask 	|	active =  355912 	|	total =  589824 	|	layerwise sparsity =  0.6034206814236112
layer4.0.conv1.weight_mask 	|	active =  736076 	|	total =  1179648 	|	layerwise sparsity =  0.6239793565538194
layer4.0.conv2.weight_mask 	|	active =  1532162 	|	total =  2359296 	|	layerwise sparsity =  0.6494149102105035
layer4.0.shortcut.0.weight_mask 	|	active =  74765 	|	total =  131072 	|	layerwise sparsity =  0.5704116821289062
layer4.1.conv1.weight_mask 	|	active =  1549787 	|	total =  2359296 	|	layerwise sparsity =  0.6568853590223525
layer4.1.conv2.weight_mask 	|	active =  1563499 	|	total =  2359296 	|	layerwise sparsity =  0.662697262234158
pruning state: 2
remaining weight at start of iteration =  63.17130067732259
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  12186 	|	total =  36864 	|	layerwise sparsity =  0.33056640625
layer1.0.conv2.weight_mask 	|	active =  12186 	|	total =  36864 	|	layerwise sparsity =  0.33056640625
layer1.1.conv1.weight_mask 	|	active =  12805 	|	total =  36864 	|	layerwise sparsity =  0.3473578559027778
layer1.1.conv2.weight_mask 	|	active =  13338 	|	total =  36864 	|	layerwise sparsity =  0.36181640625
layer2.0.conv1.weight_mask 	|	active =  26432 	|	total =  73728 	|	layerwise sparsity =  0.3585069444444444
layer2.0.conv2.weight_mask 	|	active =  58374 	|	total =  147456 	|	layerwise sparsity =  0.3958740234375
layer2.0.shortcut.0.weight_mask 	|	active =  2610 	|	total =  8192 	|	layerwise sparsity =  0.318603515625
layer2.1.conv1.weight_mask 	|	active =  59013 	|	total =  147456 	|	layerwise sparsity =  0.40020751953125
layer2.1.conv2.weight_mask 	|	active =  60134 	|	total =  147456 	|	layerwise sparsity =  0.4078097873263889
layer3.0.conv1.weight_mask 	|	active =  125953 	|	total =  294912 	|	layerwise sparsity =  0.4270867241753472
layer3.0.conv2.weight_mask 	|	active =  267610 	|	total =  589824 	|	layerwise sparsity =  0.4537116156684028
layer3.0.shortcut.0.weight_mask 	|	active =  11979 	|	total =  32768 	|	layerwise sparsity =  0.365570068359375
layer3.1.conv1.weight_mask 	|	active =  270865 	|	total =  589824 	|	layerwise sparsity =  0.4592302110460069
layer3.1.conv2.weight_mask 	|	active =  276473 	|	total =  589824 	|	layerwise sparsity =  0.4687381320529514
layer4.0.conv1.weight_mask 	|	active =  581444 	|	total =  1179648 	|	layerwise sparsity =  0.4928961859809028
layer4.0.conv2.weight_mask 	|	active =  1234713 	|	total =  2359296 	|	layerwise sparsity =  0.523339589436849
layer4.0.shortcut.0.weight_mask 	|	active =  56467 	|	total =  131072 	|	layerwise sparsity =  0.43080902099609375
layer4.1.conv1.weight_mask 	|	active =  1256078 	|	total =  2359296 	|	layerwise sparsity =  0.532395256890191
layer4.1.conv2.weight_mask 	|	active =  1272785 	|	total =  2359296 	|	layerwise sparsity =  0.5394766065809462
pruning state: 3
remaining weight at start of iteration =  50.28522572162672
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  8426 	|	total =  36864 	|	layerwise sparsity =  0.2285698784722222
layer1.0.conv2.weight_mask 	|	active =  8426 	|	total =  36864 	|	layerwise sparsity =  0.2285698784722222
layer1.1.conv1.weight_mask 	|	active =  9001 	|	total =  36864 	|	layerwise sparsity =  0.2441677517361111
