pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  1706 	|	total =  1728 	|	layerwise sparsity =  0.9872685185185185
layer1.0.conv1.weight_mask 	|	active =  35114 	|	total =  36864 	|	layerwise sparsity =  0.9525282118055556
layer1.0.conv2.weight_mask 	|	active =  34962 	|	total =  36864 	|	layerwise sparsity =  0.9484049479166666
layer1.1.conv1.weight_mask 	|	active =  34592 	|	total =  36864 	|	layerwise sparsity =  0.9383680555555556
layer1.1.conv2.weight_mask 	|	active =  34631 	|	total =  36864 	|	layerwise sparsity =  0.9394259982638888
layer2.0.conv1.weight_mask 	|	active =  68030 	|	total =  73728 	|	layerwise sparsity =  0.9227159288194444
layer2.0.conv2.weight_mask 	|	active =  132401 	|	total =  147456 	|	layerwise sparsity =  0.8979017469618056
layer2.0.shortcut.0.weight_mask 	|	active =  7950 	|	total =  8192 	|	layerwise sparsity =  0.970458984375
layer2.1.conv1.weight_mask 	|	active =  132185 	|	total =  147456 	|	layerwise sparsity =  0.8964369032118056
layer2.1.conv2.weight_mask 	|	active =  131489 	|	total =  147456 	|	layerwise sparsity =  0.8917168511284722
layer3.0.conv1.weight_mask 	|	active =  260167 	|	total =  294912 	|	layerwise sparsity =  0.8821851942274306
layer3.0.conv2.weight_mask 	|	active =  493007 	|	total =  589824 	|	layerwise sparsity =  0.8358544243706597
layer3.0.shortcut.0.weight_mask 	|	active =  31485 	|	total =  32768 	|	layerwise sparsity =  0.960845947265625
layer3.1.conv1.weight_mask 	|	active =  491666 	|	total =  589824 	|	layerwise sparsity =  0.8335808648003472
layer3.1.conv2.weight_mask 	|	active =  491835 	|	total =  589824 	|	layerwise sparsity =  0.8338673909505209
layer4.0.conv1.weight_mask 	|	active =  979774 	|	total =  1179648 	|	layerwise sparsity =  0.8305647108289931
layer4.0.conv2.weight_mask 	|	active =  1811166 	|	total =  2359296 	|	layerwise sparsity =  0.7676722208658854
layer4.0.shortcut.0.weight_mask 	|	active =  123591 	|	total =  131072 	|	layerwise sparsity =  0.9429244995117188
layer4.1.conv1.weight_mask 	|	active =  1812417 	|	total =  2359296 	|	layerwise sparsity =  0.7682024637858073
layer4.1.conv2.weight_mask 	|	active =  1819218 	|	total =  2359296 	|	layerwise sparsity =  0.7710851033528646
pruning state: 1
remaining weight at start of iteration =  80.00000358447606
pre_conv.0.weight_mask 	|	active =  1676 	|	total =  1728 	|	layerwise sparsity =  0.9699074074074074
layer1.0.conv1.weight_mask 	|	active =  32866 	|	total =  36864 	|	layerwise sparsity =  0.8915473090277778
layer1.0.conv2.weight_mask 	|	active =  32525 	|	total =  36864 	|	layerwise sparsity =  0.8822970920138888
layer1.1.conv1.weight_mask 	|	active =  31947 	|	total =  36864 	|	layerwise sparsity =  0.8666178385416666
layer1.1.conv2.weight_mask 	|	active =  32015 	|	total =  36864 	|	layerwise sparsity =  0.8684624565972222
layer2.0.conv1.weight_mask 	|	active =  62161 	|	total =  73728 	|	layerwise sparsity =  0.8431125217013888
layer2.0.conv2.weight_mask 	|	active =  117270 	|	total =  147456 	|	layerwise sparsity =  0.7952880859375
layer2.0.shortcut.0.weight_mask 	|	active =  7681 	|	total =  8192 	|	layerwise sparsity =  0.9376220703125
layer2.1.conv1.weight_mask 	|	active =  117828 	|	total =  147456 	|	layerwise sparsity =  0.799072265625
layer2.1.conv2.weight_mask 	|	active =  116715 	|	total =  147456 	|	layerwise sparsity =  0.7915242513020834
layer3.0.conv1.weight_mask 	|	active =  228897 	|	total =  294912 	|	layerwise sparsity =  0.776153564453125
