pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  1701 	|	total =  1728 	|	layerwise sparsity =  0.984375
layer1.0.conv1.weight_mask 	|	active =  35027 	|	total =  36864 	|	layerwise sparsity =  0.9501681857638888
layer1.0.conv2.weight_mask 	|	active =  35170 	|	total =  36864 	|	layerwise sparsity =  0.9540473090277778
layer1.1.conv1.weight_mask 	|	active =  34913 	|	total =  36864 	|	layerwise sparsity =  0.9470757378472222
layer1.1.conv2.weight_mask 	|	active =  35014 	|	total =  36864 	|	layerwise sparsity =  0.9498155381944444
layer2.0.conv1.weight_mask 	|	active =  69331 	|	total =  73728 	|	layerwise sparsity =  0.9403618706597222
layer2.0.conv2.weight_mask 	|	active =  134452 	|	total =  147456 	|	layerwise sparsity =  0.9118109809027778
layer2.0.shortcut.0.weight_mask 	|	active =  7977 	|	total =  8192 	|	layerwise sparsity =  0.9737548828125
layer2.1.conv1.weight_mask 	|	active =  133015 	|	total =  147456 	|	layerwise sparsity =  0.9020657009548612
layer2.1.conv2.weight_mask 	|	active =  131927 	|	total =  147456 	|	layerwise sparsity =  0.8946872287326388
layer3.0.conv1.weight_mask 	|	active =  261744 	|	total =  294912 	|	layerwise sparsity =  0.8875325520833334
layer3.0.conv2.weight_mask 	|	active =  495861 	|	total =  589824 	|	layerwise sparsity =  0.8406931559244791
layer3.0.shortcut.0.weight_mask 	|	active =  31475 	|	total =  32768 	|	layerwise sparsity =  0.960540771484375
layer3.1.conv1.weight_mask 	|	active =  493970 	|	total =  589824 	|	layerwise sparsity =  0.8374871148003472
layer3.1.conv2.weight_mask 	|	active =  493926 	|	total =  589824 	|	layerwise sparsity =  0.8374125162760416
layer4.0.conv1.weight_mask 	|	active =  981053 	|	total =  1179648 	|	layerwise sparsity =  0.831648932562934
layer4.0.conv2.weight_mask 	|	active =  1811643 	|	total =  2359296 	|	layerwise sparsity =  0.7678743998209635
layer4.0.shortcut.0.weight_mask 	|	active =  123849 	|	total =  131072 	|	layerwise sparsity =  0.9448928833007812
layer4.1.conv1.weight_mask 	|	active =  1806753 	|	total =  2359296 	|	layerwise sparsity =  0.765801747639974
layer4.1.conv2.weight_mask 	|	active =  1808585 	|	total =  2359296 	|	layerwise sparsity =  0.7665782504611545
pruning state: 1
remaining weight at start of iteration =  80.00000358447606
pre_conv.0.weight_mask 	|	active =  1667 	|	total =  1728 	|	layerwise sparsity =  0.9646990740740741
layer1.0.conv1.weight_mask 	|	active =  32588 	|	total =  36864 	|	layerwise sparsity =  0.8840060763888888
layer1.0.conv2.weight_mask 	|	active =  32814 	|	total =  36864 	|	layerwise sparsity =  0.89013671875
layer1.1.conv1.weight_mask 	|	active =  32392 	|	total =  36864 	|	layerwise sparsity =  0.8786892361111112
layer1.1.conv2.weight_mask 	|	active =  32540 	|	total =  36864 	|	layerwise sparsity =  0.8827039930555556
layer2.0.conv1.weight_mask 	|	active =  63972 	|	total =  73728 	|	layerwise sparsity =  0.86767578125
layer2.0.conv2.weight_mask 	|	active =  119457 	|	total =  147456 	|	layerwise sparsity =  0.81011962890625
layer2.0.shortcut.0.weight_mask 	|	active =  7688 	|	total =  8192 	|	layerwise sparsity =  0.9384765625
layer2.1.conv1.weight_mask 	|	active =  116934 	|	total =  147456 	|	layerwise sparsity =  0.7930094401041666
layer2.1.conv2.weight_mask 	|	active =  115007 	|	total =  147456 	|	layerwise sparsity =  0.7799411349826388
layer3.0.conv1.weight_mask 	|	active =  226818 	|	total =  294912 	|	layerwise sparsity =  0.76910400390625
layer3.0.conv2.weight_mask 	|	active =  405950 	|	total =  589824 	|	layerwise sparsity =  0.6882561577690972
layer3.0.shortcut.0.weight_mask 	|	active =  29790 	|	total =  32768 	|	layerwise sparsity =  0.90911865234375
