pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  25031 	|	total =  36864 	|	layerwise sparsity =  0.6790093315972222
layer1.0.conv2.weight_mask 	|	active =  25374 	|	total =  36864 	|	layerwise sparsity =  0.6883138020833334
layer1.1.conv1.weight_mask 	|	active =  26103 	|	total =  36864 	|	layerwise sparsity =  0.7080891927083334
layer1.1.conv2.weight_mask 	|	active =  26067 	|	total =  36864 	|	layerwise sparsity =  0.7071126302083334
layer2.0.conv1.weight_mask 	|	active =  52659 	|	total =  73728 	|	layerwise sparsity =  0.7142333984375
layer2.0.conv2.weight_mask 	|	active =  108731 	|	total =  147456 	|	layerwise sparsity =  0.7373792860243056
layer2.0.shortcut.0.weight_mask 	|	active =  5515 	|	total =  8192 	|	layerwise sparsity =  0.6732177734375
layer2.1.conv1.weight_mask 	|	active =  108795 	|	total =  147456 	|	layerwise sparsity =  0.7378133138020834
layer2.1.conv2.weight_mask 	|	active =  109960 	|	total =  147456 	|	layerwise sparsity =  0.7457139756944444
layer3.0.conv1.weight_mask 	|	active =  223207 	|	total =  294912 	|	layerwise sparsity =  0.7568596733940972
layer3.0.conv2.weight_mask 	|	active =  456576 	|	total =  589824 	|	layerwise sparsity =  0.7740885416666666
layer3.0.shortcut.0.weight_mask 	|	active =  23910 	|	total =  32768 	|	layerwise sparsity =  0.72967529296875
layer3.1.conv1.weight_mask 	|	active =  456302 	|	total =  589824 	|	layerwise sparsity =  0.7736239963107638
layer3.1.conv2.weight_mask 	|	active =  458934 	|	total =  589824 	|	layerwise sparsity =  0.7780863444010416
layer4.0.conv1.weight_mask 	|	active =  934311 	|	total =  1179648 	|	layerwise sparsity =  0.7920252482096354
layer4.0.conv2.weight_mask 	|	active =  1902443 	|	total =  2359296 	|	layerwise sparsity =  0.8063604566786025
layer4.0.shortcut.0.weight_mask 	|	active =  98889 	|	total =  131072 	|	layerwise sparsity =  0.7544631958007812
layer4.1.conv1.weight_mask 	|	active =  1912227 	|	total =  2359296 	|	layerwise sparsity =  0.8105074564615885
layer4.1.conv2.weight_mask 	|	active =  1915569 	|	total =  2359296 	|	layerwise sparsity =  0.8119239807128906
pruning state: 1
remaining weight at start of iteration =  79.49116032357783
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  16996 	|	total =  36864 	|	layerwise sparsity =  0.4610460069444444
layer1.0.conv2.weight_mask 	|	active =  17465 	|	total =  36864 	|	layerwise sparsity =  0.4737684461805556
layer1.1.conv1.weight_mask 	|	active =  18483 	|	total =  36864 	|	layerwise sparsity =  0.5013834635416666
layer1.1.conv2.weight_mask 	|	active =  18432 	|	total =  36864 	|	layerwise sparsity =  0.5
layer2.0.conv1.weight_mask 	|	active =  37611 	|	total =  73728 	|	layerwise sparsity =  0.5101318359375
layer2.0.conv2.weight_mask 	|	active =  80176 	|	total =  147456 	|	layerwise sparsity =  0.5437282986111112
layer2.0.shortcut.0.weight_mask 	|	active =  3713 	|	total =  8192 	|	layerwise sparsity =  0.4532470703125
layer2.1.conv1.weight_mask 	|	active =  80271 	|	total =  147456 	|	layerwise sparsity =  0.54437255859375
layer2.1.conv2.weight_mask 	|	active =  81999 	|	total =  147456 	|	layerwise sparsity =  0.55609130859375
layer3.0.conv1.weight_mask 	|	active =  168936 	|	total =  294912 	|	layerwise sparsity =  0.5728352864583334
layer3.0.conv2.weight_mask 	|	active =  353431 	|	total =  589824 	|	layerwise sparsity =  0.5992143419053819
layer3.0.shortcut.0.weight_mask 	|	active =  17447 	|	total =  32768 	|	layerwise sparsity =  0.532440185546875
layer3.1.conv1.weight_mask 	|	active =  353007 	|	total =  589824 	|	layerwise sparsity =  0.5984954833984375
layer3.1.conv2.weight_mask 	|	active =  357091 	|	total =  589824 	|	layerwise sparsity =  0.6054195827907987
layer4.0.conv1.weight_mask 	|	active =  739998 	|	total =  1179648 	|	layerwise sparsity =  0.6273040771484375
layer4.0.conv2.weight_mask 	|	active =  1534055 	|	total =  2359296 	|	layerwise sparsity =  0.65021726820204
layer4.0.shortcut.0.weight_mask 	|	active =  74608 	|	total =  131072 	|	layerwise sparsity =  0.5692138671875
layer4.1.conv1.weight_mask 	|	active =  1549874 	|	total =  2359296 	|	layerwise sparsity =  0.6569222344292535
layer4.1.conv2.weight_mask 	|	active =  1555296 	|	total =  2359296 	|	layerwise sparsity =  0.6592203776041666
pruning state: 2
remaining weight at start of iteration =  63.25604665267287
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  11540 	|	total =  36864 	|	layerwise sparsity =  0.3130425347222222
layer1.0.conv2.weight_mask 	|	active =  12021 	|	total =  36864 	|	layerwise sparsity =  0.3260904947916667
layer1.1.conv1.weight_mask 	|	active =  13087 	|	total =  36864 	|	layerwise sparsity =  0.3550075954861111
layer1.1.conv2.weight_mask 	|	active =  13033 	|	total =  36864 	|	layerwise sparsity =  0.3535427517361111
layer2.0.conv1.weight_mask 	|	active =  26863 	|	total =  73728 	|	layerwise sparsity =  0.3643527560763889
layer2.0.conv2.weight_mask 	|	active =  59120 	|	total =  147456 	|	layerwise sparsity =  0.4009331597222222
layer2.0.shortcut.0.weight_mask 	|	active =  2500 	|	total =  8192 	|	layerwise sparsity =  0.30517578125
layer2.1.conv1.weight_mask 	|	active =  59225 	|	total =  147456 	|	layerwise sparsity =  0.4016452365451389
layer2.1.conv2.weight_mask 	|	active =  61148 	|	total =  147456 	|	layerwise sparsity =  0.4146864149305556
layer3.0.conv1.weight_mask 	|	active =  127861 	|	total =  294912 	|	layerwise sparsity =  0.4335564507378472
layer3.0.conv2.weight_mask 	|	active =  273587 	|	total =  589824 	|	layerwise sparsity =  0.4638451470269097
layer3.0.shortcut.0.weight_mask 	|	active =  12731 	|	total =  32768 	|	layerwise sparsity =  0.388519287109375
layer3.1.conv1.weight_mask 	|	active =  273095 	|	total =  589824 	|	layerwise sparsity =  0.4630109998914931
layer3.1.conv2.weight_mask 	|	active =  277848 	|	total =  589824 	|	layerwise sparsity =  0.4710693359375
layer4.0.conv1.weight_mask 	|	active =  586097 	|	total =  1179648 	|	layerwise sparsity =  0.49684058295355904
layer4.0.conv2.weight_mask 	|	active =  1237002 	|	total =  2359296 	|	layerwise sparsity =  0.5243097941080729
layer4.0.shortcut.0.weight_mask 	|	active =  56289 	|	total =  131072 	|	layerwise sparsity =  0.42945098876953125
layer4.1.conv1.weight_mask 	|	active =  1256184 	|	total =  2359296 	|	layerwise sparsity =  0.532440185546875
layer4.1.conv2.weight_mask 	|	active =  1262782 	|	total =  2359296 	|	layerwise sparsity =  0.5352367824978299
pruning state: 3
remaining weight at start of iteration =  50.379927579245596
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  7836 	|	total =  36864 	|	layerwise sparsity =  0.21256510416666666
layer1.0.conv2.weight_mask 	|	active =  8274 	|	total =  36864 	|	layerwise sparsity =  0.22444661458333334
layer1.1.conv1.weight_mask 	|	active =  9267 	|	total =  36864 	|	layerwise sparsity =  0.2513834635416667
layer1.1.conv2.weight_mask 	|	active =  9216 	|	total =  36864 	|	layerwise sparsity =  0.25
layer2.0.conv1.weight_mask 	|	active =  19187 	|	total =  73728 	|	layerwise sparsity =  0.2602403428819444
layer2.0.conv2.weight_mask 	|	active =  43594 	|	total =  147456 	|	layerwise sparsity =  0.2956407335069444
layer2.0.shortcut.0.weight_mask 	|	active =  1683 	|	total =  8192 	|	layerwise sparsity =  0.2054443359375
layer2.1.conv1.weight_mask 	|	active =  43697 	|	total =  147456 	|	layerwise sparsity =  0.2963392469618056
layer2.1.conv2.weight_mask 	|	active =  45599 	|	total =  147456 	|	layerwise sparsity =  0.3092380099826389
layer3.0.conv1.weight_mask 	|	active =  96773 	|	total =  294912 	|	layerwise sparsity =  0.3281419542100694
layer3.0.conv2.weight_mask 	|	active =  211781 	|	total =  589824 	|	layerwise sparsity =  0.3590579562717014
layer3.0.shortcut.0.weight_mask 	|	active =  9290 	|	total =  32768 	|	layerwise sparsity =  0.28350830078125
layer3.1.conv1.weight_mask 	|	active =  211273 	|	total =  589824 	|	layerwise sparsity =  0.3581966824001736
layer3.1.conv2.weight_mask 	|	active =  216190 	|	total =  589824 	|	layerwise sparsity =  0.3665330674913194
layer4.0.conv1.weight_mask 	|	active =  464204 	|	total =  1179648 	|	layerwise sparsity =  0.3935106065538194
layer4.0.conv2.weight_mask 	|	active =  997470 	|	total =  2359296 	|	layerwise sparsity =  0.42278289794921875
layer4.0.shortcut.0.weight_mask 	|	active =  42468 	|	total =  131072 	|	layerwise sparsity =  0.324005126953125
layer4.1.conv1.weight_mask 	|	active =  1018146 	|	total =  2359296 	|	layerwise sparsity =  0.43154652913411456
layer4.1.conv2.weight_mask 	|	active =  1025283 	|	total =  2359296 	|	layerwise sparsity =  0.4345715840657552
pruning state: 4
remaining weight at start of iteration =  40.15716314527739
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  5321 	|	total =  36864 	|	layerwise sparsity =  0.1443413628472222
layer1.0.conv2.weight_mask 	|	active =  5695 	|	total =  36864 	|	layerwise sparsity =  0.1544867621527778
layer1.1.conv1.weight_mask 	|	active =  6562 	|	total =  36864 	|	layerwise sparsity =  0.1780056423611111
layer1.1.conv2.weight_mask 	|	active =  6517 	|	total =  36864 	|	layerwise sparsity =  0.1767849392361111
layer2.0.conv1.weight_mask 	|	active =  13704 	|	total =  73728 	|	layerwise sparsity =  0.18587239583333334
layer2.0.conv2.weight_mask 	|	active =  32145 	|	total =  147456 	|	layerwise sparsity =  0.21799723307291666
layer2.0.shortcut.0.weight_mask 	|	active =  1133 	|	total =  8192 	|	layerwise sparsity =  0.1383056640625
layer2.1.conv1.weight_mask 	|	active =  32240 	|	total =  147456 	|	layerwise sparsity =  0.21864149305555555
layer2.1.conv2.weight_mask 	|	active =  34004 	|	total =  147456 	|	layerwise sparsity =  0.23060438368055555
layer3.0.conv1.weight_mask 	|	active =  73244 	|	total =  294912 	|	layerwise sparsity =  0.2483588324652778
layer3.0.conv2.weight_mask 	|	active =  163937 	|	total =  589824 	|	layerwise sparsity =  0.2779422336154514
layer3.0.shortcut.0.weight_mask 	|	active =  6779 	|	total =  32768 	|	layerwise sparsity =  0.206878662109375
layer3.1.conv1.weight_mask 	|	active =  163446 	|	total =  589824 	|	layerwise sparsity =  0.2771097819010417
layer3.1.conv2.weight_mask 	|	active =  168215 	|	total =  589824 	|	layerwise sparsity =  0.2851952446831597
layer4.0.conv1.weight_mask 	|	active =  367661 	|	total =  1179648 	|	layerwise sparsity =  0.31167009141710067
layer4.0.conv2.weight_mask 	|	active =  804321 	|	total =  2359296 	|	layerwise sparsity =  0.3409156799316406
layer4.0.shortcut.0.weight_mask 	|	active =  32040 	|	total =  131072 	|	layerwise sparsity =  0.24444580078125
