pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  25179 	|	total =  36864 	|	layerwise sparsity =  0.6830240885416666
layer1.0.conv2.weight_mask 	|	active =  25596 	|	total =  36864 	|	layerwise sparsity =  0.6943359375
layer1.1.conv1.weight_mask 	|	active =  25489 	|	total =  36864 	|	layerwise sparsity =  0.6914333767361112
layer1.1.conv2.weight_mask 	|	active =  25786 	|	total =  36864 	|	layerwise sparsity =  0.6994900173611112
layer2.0.conv1.weight_mask 	|	active =  53101 	|	total =  73728 	|	layerwise sparsity =  0.7202284071180556
layer2.0.conv2.weight_mask 	|	active =  108055 	|	total =  147456 	|	layerwise sparsity =  0.7327948676215278
layer2.0.shortcut.0.weight_mask 	|	active =  5595 	|	total =  8192 	|	layerwise sparsity =  0.6829833984375
layer2.1.conv1.weight_mask 	|	active =  108779 	|	total =  147456 	|	layerwise sparsity =  0.7377048068576388
layer2.1.conv2.weight_mask 	|	active =  109201 	|	total =  147456 	|	layerwise sparsity =  0.7405666775173612
layer3.0.conv1.weight_mask 	|	active =  222436 	|	total =  294912 	|	layerwise sparsity =  0.7542453342013888
layer3.0.conv2.weight_mask 	|	active =  455495 	|	total =  589824 	|	layerwise sparsity =  0.7722557915581597
layer3.0.shortcut.0.weight_mask 	|	active =  23785 	|	total =  32768 	|	layerwise sparsity =  0.725860595703125
layer3.1.conv1.weight_mask 	|	active =  455488 	|	total =  589824 	|	layerwise sparsity =  0.7722439236111112
layer3.1.conv2.weight_mask 	|	active =  457741 	|	total =  589824 	|	layerwise sparsity =  0.7760637071397569
layer4.0.conv1.weight_mask 	|	active =  931797 	|	total =  1179648 	|	layerwise sparsity =  0.7898941040039062
layer4.0.conv2.weight_mask 	|	active =  1903154 	|	total =  2359296 	|	layerwise sparsity =  0.8066618177625868
layer4.0.shortcut.0.weight_mask 	|	active =  98505 	|	total =  131072 	|	layerwise sparsity =  0.7515335083007812
layer4.1.conv1.weight_mask 	|	active =  1911507 	|	total =  2359296 	|	layerwise sparsity =  0.8102022806803385
layer4.1.conv2.weight_mask 	|	active =  1918920 	|	total =  2359296 	|	layerwise sparsity =  0.8133443196614584
pruning state: 1
remaining weight at start of iteration =  79.44640813991501
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  17198 	|	total =  36864 	|	layerwise sparsity =  0.4665256076388889
layer1.0.conv2.weight_mask 	|	active =  17772 	|	total =  36864 	|	layerwise sparsity =  0.4820963541666667
layer1.1.conv1.weight_mask 	|	active =  17624 	|	total =  36864 	|	layerwise sparsity =  0.4780815972222222
