pruning state: 0
remaining weight at start of iteration =  100.0
pre_conv.0.weight_mask 	|	active =  1702 	|	total =  1728 	|	layerwise sparsity =  0.9849537037037037
layer1.0.conv1.weight_mask 	|	active =  34599 	|	total =  36864 	|	layerwise sparsity =  0.9385579427083334
layer1.0.conv2.weight_mask 	|	active =  34605 	|	total =  36864 	|	layerwise sparsity =  0.938720703125
layer1.1.conv1.weight_mask 	|	active =  34405 	|	total =  36864 	|	layerwise sparsity =  0.9332953559027778
layer1.1.conv2.weight_mask 	|	active =  34451 	|	total =  36864 	|	layerwise sparsity =  0.9345431857638888
layer2.0.conv1.weight_mask 	|	active =  68114 	|	total =  73728 	|	layerwise sparsity =  0.9238552517361112
layer2.0.conv2.weight_mask 	|	active =  132266 	|	total =  147456 	|	layerwise sparsity =  0.8969862196180556
layer2.0.shortcut.0.weight_mask 	|	active =  7962 	|	total =  8192 	|	layerwise sparsity =  0.971923828125
layer2.1.conv1.weight_mask 	|	active =  131835 	|	total =  147456 	|	layerwise sparsity =  0.8940633138020834
layer2.1.conv2.weight_mask 	|	active =  131402 	|	total =  147456 	|	layerwise sparsity =  0.8911268446180556
layer3.0.conv1.weight_mask 	|	active =  261114 	|	total =  294912 	|	layerwise sparsity =  0.8853963216145834
layer3.0.conv2.weight_mask 	|	active =  496263 	|	total =  589824 	|	layerwise sparsity =  0.8413747151692709
layer3.0.shortcut.0.weight_mask 	|	active =  31482 	|	total =  32768 	|	layerwise sparsity =  0.96075439453125
layer3.1.conv1.weight_mask 	|	active =  492870 	|	total =  589824 	|	layerwise sparsity =  0.8356221516927084
layer3.1.conv2.weight_mask 	|	active =  490858 	|	total =  589824 	|	layerwise sparsity =  0.8322109646267362
layer4.0.conv1.weight_mask 	|	active =  980901 	|	total =  1179648 	|	layerwise sparsity =  0.8315200805664062
layer4.0.conv2.weight_mask 	|	active =  1812093 	|	total =  2359296 	|	layerwise sparsity =  0.7680651346842448
layer4.0.shortcut.0.weight_mask 	|	active =  123860 	|	total =  131072 	|	layerwise sparsity =  0.944976806640625
layer4.1.conv1.weight_mask 	|	active =  1813985 	|	total =  2359296 	|	layerwise sparsity =  0.7688670688205295
layer4.1.conv2.weight_mask 	|	active =  1812619 	|	total =  2359296 	|	layerwise sparsity =  0.768288082546658
pruning state: 1
remaining weight at start of iteration =  80.00000358447606
pre_conv.0.weight_mask 	|	active =  1672 	|	total =  1728 	|	layerwise sparsity =  0.9675925925925926
layer1.0.conv1.weight_mask 	|	active =  31951 	|	total =  36864 	|	layerwise sparsity =  0.8667263454861112
layer1.0.conv2.weight_mask 	|	active =  31964 	|	total =  36864 	|	layerwise sparsity =  0.8670789930555556
layer1.1.conv1.weight_mask 	|	active =  31565 	|	total =  36864 	|	layerwise sparsity =  0.8562554253472222
layer1.1.conv2.weight_mask 	|	active =  31633 	|	total =  36864 	|	layerwise sparsity =  0.8581000434027778
layer2.0.conv1.weight_mask 	|	active =  62092 	|	total =  73728 	|	layerwise sparsity =  0.8421766493055556
layer2.0.conv2.weight_mask 	|	active =  116538 	|	total =  147456 	|	layerwise sparsity =  0.7903238932291666
layer2.0.shortcut.0.weight_mask 	|	active =  7697 	|	total =  8192 	|	layerwise sparsity =  0.9395751953125
layer2.1.conv1.weight_mask 	|	active =  115638 	|	total =  147456 	|	layerwise sparsity =  0.7842203776041666
layer2.1.conv2.weight_mask 	|	active =  114478 	|	total =  147456 	|	layerwise sparsity =  0.7763536241319444
layer3.0.conv1.weight_mask 	|	active =  226991 	|	total =  294912 	|	layerwise sparsity =  0.7696906195746528
layer3.0.conv2.weight_mask 	|	active =  409932 	|	total =  589824 	|	layerwise sparsity =  0.69500732421875
