pruning state: 0
remaining weight at start of iteration =  100.0
pre_conv.0.weight_mask 	|	active =  1190 	|	total =  1728 	|	layerwise sparsity =  0.6886574074074074
layer1.0.conv1.weight_mask 	|	active =  24864 	|	total =  36864 	|	layerwise sparsity =  0.6744791666666666
layer1.0.conv2.weight_mask 	|	active =  25741 	|	total =  36864 	|	layerwise sparsity =  0.6982693142361112
layer1.1.conv1.weight_mask 	|	active =  25786 	|	total =  36864 	|	layerwise sparsity =  0.6994900173611112
layer1.1.conv2.weight_mask 	|	active =  25741 	|	total =  36864 	|	layerwise sparsity =  0.6982693142361112
layer2.0.conv1.weight_mask 	|	active =  52343 	|	total =  73728 	|	layerwise sparsity =  0.7099473741319444
layer2.0.conv2.weight_mask 	|	active =  107773 	|	total =  147456 	|	layerwise sparsity =  0.7308824327256944
layer2.0.shortcut.0.weight_mask 	|	active =  5405 	|	total =  8192 	|	layerwise sparsity =  0.6597900390625
layer2.1.conv1.weight_mask 	|	active =  107925 	|	total =  147456 	|	layerwise sparsity =  0.7319132486979166
layer2.1.conv2.weight_mask 	|	active =  109125 	|	total =  147456 	|	layerwise sparsity =  0.74005126953125
layer3.0.conv1.weight_mask 	|	active =  221634 	|	total =  294912 	|	layerwise sparsity =  0.75152587890625
layer3.0.conv2.weight_mask 	|	active =  453376 	|	total =  589824 	|	layerwise sparsity =  0.7686631944444444
layer3.0.shortcut.0.weight_mask 	|	active =  23740 	|	total =  32768 	|	layerwise sparsity =  0.7244873046875
layer3.1.conv1.weight_mask 	|	active =  454828 	|	total =  589824 	|	layerwise sparsity =  0.7711249457465278
layer3.1.conv2.weight_mask 	|	active =  456982 	|	total =  589824 	|	layerwise sparsity =  0.7747768825954862
layer4.0.conv1.weight_mask 	|	active =  931642 	|	total =  1179648 	|	layerwise sparsity =  0.7897627088758681
layer4.0.conv2.weight_mask 	|	active =  1900630 	|	total =  2359296 	|	layerwise sparsity =  0.8055920071072049
layer4.0.shortcut.0.weight_mask 	|	active =  98910 	|	total =  131072 	|	layerwise sparsity =  0.7546234130859375
layer4.1.conv1.weight_mask 	|	active =  1910688 	|	total =  2359296 	|	layerwise sparsity =  0.8098551432291666
layer4.1.conv2.weight_mask 	|	active =  1923432 	|	total =  2359296 	|	layerwise sparsity =  0.8152567545572916
pruning state: 1
remaining weight at start of iteration =  79.41187171303545
pre_conv.0.weight_mask 	|	active =  820 	|	total =  1728 	|	layerwise sparsity =  0.47453703703703703
layer1.0.conv1.weight_mask 	|	active =  16771 	|	total =  36864 	|	layerwise sparsity =  0.4549424913194444
layer1.0.conv2.weight_mask 	|	active =  17974 	|	total =  36864 	|	layerwise sparsity =  0.4875759548611111
layer1.1.conv1.weight_mask 	|	active =  18037 	|	total =  36864 	|	layerwise sparsity =  0.4892849392361111
layer1.1.conv2.weight_mask 	|	active =  17974 	|	total =  36864 	|	layerwise sparsity =  0.4875759548611111
layer2.0.conv1.weight_mask 	|	active =  37161 	|	total =  73728 	|	layerwise sparsity =  0.5040283203125
layer2.0.conv2.weight_mask 	|	active =  78769 	|	total =  147456 	|	layerwise sparsity =  0.5341864691840278
layer2.0.shortcut.0.weight_mask 	|	active =  3566 	|	total =  8192 	|	layerwise sparsity =  0.435302734375
layer2.1.conv1.weight_mask 	|	active =  78992 	|	total =  147456 	|	layerwise sparsity =  0.5356987847222222
layer2.1.conv2.weight_mask 	|	active =  80758 	|	total =  147456 	|	layerwise sparsity =  0.5476752387152778
layer3.0.conv1.weight_mask 	|	active =  166563 	|	total =  294912 	|	layerwise sparsity =  0.564788818359375
layer3.0.conv2.weight_mask 	|	active =  348493 	|	total =  589824 	|	layerwise sparsity =  0.5908423529730903
layer3.0.shortcut.0.weight_mask 	|	active =  17199 	|	total =  32768 	|	layerwise sparsity =  0.524871826171875
layer3.1.conv1.weight_mask 	|	active =  350729 	|	total =  589824 	|	layerwise sparsity =  0.5946333143446181
layer3.1.conv2.weight_mask 	|	active =  354059 	|	total =  589824 	|	layerwise sparsity =  0.6002790662977431
layer4.0.conv1.weight_mask 	|	active =  735776 	|	total =  1179648 	|	layerwise sparsity =  0.6237250434027778
layer4.0.conv2.weight_mask 	|	active =  1531132 	|	total =  2359296 	|	layerwise sparsity =  0.6489783393012153
layer4.0.shortcut.0.weight_mask 	|	active =  74640 	|	total =  131072 	|	layerwise sparsity =  0.5694580078125
layer4.1.conv1.weight_mask 	|	active =  1547381 	|	total =  2359296 	|	layerwise sparsity =  0.6558655632866753
layer4.1.conv2.weight_mask 	|	active =  1568091 	|	total =  2359296 	|	layerwise sparsity =  0.6646436055501302
pruning state: 2
remaining weight at start of iteration =  63.13055414566164
pre_conv.0.weight_mask 	|	active =  565 	|	total =  1728 	|	layerwise sparsity =  0.3269675925925926
layer1.0.conv1.weight_mask 	|	active =  11312 	|	total =  36864 	|	layerwise sparsity =  0.3068576388888889
layer1.0.conv2.weight_mask 	|	active =  12551 	|	total =  36864 	|	layerwise sparsity =  0.3404676649305556
layer1.1.conv1.weight_mask 	|	active =  12617 	|	total =  36864 	|	layerwise sparsity =  0.3422580295138889
layer1.1.conv2.weight_mask 	|	active =  12551 	|	total =  36864 	|	layerwise sparsity =  0.3404676649305556
layer2.0.conv1.weight_mask 	|	active =  26382 	|	total =  73728 	|	layerwise sparsity =  0.3578287760416667
layer2.0.conv2.weight_mask 	|	active =  57571 	|	total =  147456 	|	layerwise sparsity =  0.3904283311631944
