------------------------ Checkpoint 1  ------------------------
------------------------ Checkpoint 2  ------------------------
------------------------ Checkpoint 3  ------------------------
pruning state: 0
remaining weight at start of iteration =  99.99997311642952
iteration: 0, epoch: 0, best train: 0, best val: 0, lr: 0.1
iteration: 0, epoch: 1, best train: 0.111, best val: 0.1004, lr: 0.09999
iteration: 0, epoch: 2, best train: 0.111, best val: 0.1004, lr: 0.09996
iteration: 0, epoch: 3, best train: 0.111, best val: 0.1025, lr: 0.09991
iteration: 0, epoch: 4, best train: 0.111, best val: 0.1156, lr: 0.09985
iteration: 0, epoch: 5, best train: 0.123, best val: 0.1234, lr: 0.09976
iteration: 0, epoch: 6, best train: 0.123, best val: 0.1608, lr: 0.09965
iteration: 0, epoch: 7, best train: 0.148, best val: 0.1608, lr: 0.09953
iteration: 0, epoch: 8, best train: 0.148, best val: 0.1918, lr: 0.09938
iteration: 0, epoch: 9, best train: 0.148, best val: 0.2008, lr: 0.09922
iteration: 0, epoch: 10, best train: 0.149, best val: 0.2008, lr: 0.09904
iteration: 0, epoch: 11, best train: 0.164, best val: 0.2008, lr: 0.09884
iteration: 0, epoch: 12, best train: 0.177, best val: 0.204, lr: 0.09862
iteration: 0, epoch: 13, best train: 0.183, best val: 0.2295, lr: 0.09838
iteration: 0, epoch: 14, best train: 0.196, best val: 0.2366, lr: 0.09812
iteration: 0, epoch: 15, best train: 0.206, best val: 0.2366, lr: 0.09785
iteration: 0, epoch: 16, best train: 0.206, best val: 0.2444, lr: 0.09755
iteration: 0, epoch: 17, best train: 0.206, best val: 0.2866, lr: 0.09724
iteration: 0, epoch: 18, best train: 0.206, best val: 0.2866, lr: 0.09691
iteration: 0, epoch: 19, best train: 0.214, best val: 0.2957, lr: 0.09656
iteration: 0, epoch: 20, best train: 0.219, best val: 0.3028, lr: 0.09619
iteration: 0, epoch: 21, best train: 0.219, best val: 0.3028, lr: 0.09581
iteration: 0, epoch: 22, best train: 0.219, best val: 0.3028, lr: 0.09541
iteration: 0, epoch: 23, best train: 0.223, best val: 0.3028, lr: 0.09499
iteration: 0, epoch: 24, best train: 0.227, best val: 0.3028, lr: 0.09455
iteration: 0, epoch: 25, best train: 0.231, best val: 0.3109, lr: 0.0941
iteration: 0, epoch: 26, best train: 0.237, best val: 0.3109, lr: 0.09362
iteration: 0, epoch: 27, best train: 0.248, best val: 0.3312, lr: 0.09314
iteration: 0, epoch: 28, best train: 0.272, best val: 0.3312, lr: 0.09263
iteration: 0, epoch: 29, best train: 0.272, best val: 0.3509, lr: 0.09211
iteration: 0, epoch: 30, best train: 0.286, best val: 0.3509, lr: 0.09157
iteration: 0, epoch: 31, best train: 0.286, best val: 0.3509, lr: 0.09102
iteration: 0, epoch: 32, best train: 0.286, best val: 0.3509, lr: 0.09045
iteration: 0, epoch: 33, best train: 0.29, best val: 0.3509, lr: 0.08987
iteration: 0, epoch: 34, best train: 0.29, best val: 0.3509, lr: 0.08927
iteration: 0, epoch: 35, best train: 0.297, best val: 0.3616, lr: 0.08865
iteration: 0, epoch: 36, best train: 0.297, best val: 0.3616, lr: 0.08802
iteration: 0, epoch: 37, best train: 0.297, best val: 0.3631, lr: 0.08738
iteration: 0, epoch: 38, best train: 0.297, best val: 0.3714, lr: 0.08672
iteration: 0, epoch: 39, best train: 0.297, best val: 0.3714, lr: 0.08604
iteration: 0, epoch: 40, best train: 0.309, best val: 0.3827, lr: 0.08536
iteration: 0, epoch: 41, best train: 0.311, best val: 0.3878, lr: 0.08465
iteration: 0, epoch: 42, best train: 0.311, best val: 0.3878, lr: 0.08394
iteration: 0, epoch: 43, best train: 0.311, best val: 0.3878, lr: 0.08321
iteration: 0, epoch: 44, best train: 0.311, best val: 0.3937, lr: 0.08247
iteration: 0, epoch: 45, best train: 0.352, best val: 0.3937, lr: 0.08172
iteration: 0, epoch: 46, best train: 0.362, best val: 0.3937, lr: 0.08095
iteration: 0, epoch: 47, best train: 0.362, best val: 0.3937, lr: 0.08018
iteration: 0, epoch: 48, best train: 0.362, best val: 0.3937, lr: 0.07939
iteration: 0, epoch: 49, best train: 0.362, best val: 0.3937, lr: 0.07859
iteration: 0, epoch: 50, best train: 0.362, best val: 0.3937, lr: 0.07778
